id,short_desc,long_desc,exits,lit
1,YOU'RE AT END OF ROAD AGAIN.,YOU ARE STANDING AT THE END OF A ROAD BEFORE A SMALL BRICK BUILDING. AROUND YOU IS A FOREST.  A SMALL STREAM FLOWS OUT OF THE BUILDING AND DOWN A GULLY.,EAST:3|NORTH:5|SOUTH:4|WEST:2,TRUE
2,YOU'RE AT HILL IN ROAD.,"YOU HAVE WALKED UP A HILL, STILL IN THE FOREST.  THE ROAD SLOPES BACK DOWN THE OTHER SIDE OF THE HILL.  THERE IS A BUILDING IN THE DISTANCE.",NORTH:1,TRUE
3,YOU'RE INSIDE BUILDING.,"YOU ARE INSIDE A BUILDING, A WELL HOUSE FOR A LARGE SPRING.",WEST:1,TRUE
4,YOU'RE IN VALLEY.,YOU ARE IN A VALLEY IN THE FOREST BESIDE A STREAM TUMBLING ALONG A ROCKY BED.,EAST:5|NORTH:1|SOUTH:7,TRUE
5,YOU'RE IN FOREST.,"YOU ARE IN OPEN FOREST, WITH A DEEP VALLEY TO ONE SIDE.",EAST:4|SOUTH:5,TRUE
6,YOU'RE IN FOREST.,YOU ARE IN OPEN FOREST NEAR BOTH A VALLEY AND A ROAD.,EAST:4|NORTH:1|SOUTH:5,TRUE
7,YOU'RE AT SLIT IN STREAMBED.,AT YOUR FEET ALL THE WATER OF THE STREAM SPLASHES INTO A 2-INCH SLIT IN THE ROCK.  DOWNSTREAM THE STREAMBED IS BARE ROCK.,EAST:5|NORTH:4|SOUTH:8,TRUE
8,YOU'RE OUTSIDE GRATE.,YOU ARE IN A 20-FOOT DEPRESSION FLOORED WITH BARE DIRT.  SET INTO THE DIRT IS A STRONG STEEL GRATE MOUNTED IN CONCRETE.  A DRY STREAMBED LEADS INTO THE DEPRESSION.,NORTH:7|SOUTH:5,TRUE
9,YOU'RE BELOW THE GRATE.,YOU ARE IN A SMALL CHAMBER BENEATH A 3X3 STEEL GRATE TO THE SURFACE. A LOW CRAWL OVER COBBLES LEADS INWARD TO THE WEST.,WEST:10,TRUE
10,YOU'RE IN COBBLE CRAWL.,YOU ARE CRAWLING OVER COBBLES IN A LOW PASSAGE.  THERE IS A DIM LIGHT AT THE EAST END OF THE PASSAGE.,EAST:9|WEST:11,TRUE
11,YOU'RE IN DEBRIS ROOM.,"YOU ARE IN A DEBRIS ROOM FILLED WITH STUFF WASHED IN FROM THE SURFACE. A LOW WIDE PASSAGE WITH COBBLES BECOMES PLUGGED WITH MUD AND DEBRIS HERE, BUT AN AWKWARD CANYON LEADS UPWARD AND WEST.  A NOTE ON THE WALL SAYS ""MAGIC WORD XYZZY"".",EAST:10|WEST:12,FALSE
12,YOU ARE IN AN AWKWARD SLOPING EAST/WEST CANYON....,YOU ARE IN AN AWKWARD SLOPING EAST/WEST CANYON.,EAST:11|WEST:13,FALSE
13,YOU'RE IN BIRD CHAMBER.,YOU ARE IN A SPLENDID CHAMBER THIRTY FEET HIGH.  THE WALLS ARE FROZEN RIVERS OF ORANGE STONE.  AN AWKWARD CANYON AND A GOOD PASSAGE EXIT FROM EAST AND WEST SIDES OF THE CHAMBER.,EAST:12|WEST:14,FALSE
14,YOU'RE AT TOP OF SMALL PIT.,AT YOUR FEET IS A SMALL PIT BREATHING TRACES OF WHITE MIST.  AN EAST PASSAGE ENDS HERE EXCEPT FOR A SMALL CRACK LEADING ON.,DOWN:15|EAST:13|WEST:16,FALSE
15,YOU'RE IN HALL OF MISTS.,"YOU ARE AT ONE END OF A VAST HALL STRETCHING FORWARD OUT OF SIGHT TO THE WEST.  THERE ARE OPENINGS TO EITHER SIDE.  NEARBY, A WIDE STONE STAIRCASE LEADS DOWNWARD.  THE HALL IS FILLED WITH WISPS OF WHITE MIST SWAYING TO AND FRO ALMOST AS IF ALIVE.\n\nA COLD WIND BLOWS UP THE STAIRCASE.  THERE IS A PASSAGE AT THE TOP OF A DOME BEHIND YOU.",NORTH:19|SOUTH:18|UP:14|WEST:17,FALSE
16,The crack,THE CRACK IS FAR TOO SMALL FOR YOU TO FOLLOW.,,FALSE
17,YOU'RE ON EAST BANK OF FISSURE.,"YOU ARE ON THE EAST BANK OF A FISSURE SLICING CLEAR ACROSS THE HALL. THE MIST IS QUITE THICK HERE, AND THE FISSURE IS TOO WIDE TO JUMP.",EAST:15,FALSE
18,YOU'RE IN NUGGET OF GOLD ROOM.,"THIS IS A LOW ROOM WITH A CRUDE NOTE ON THE WALL.  THE NOTE SAYS, ""YOU WON'T GET IT UP THE STEPS"".",NORTH:15,FALSE
19,YOU'RE IN HALL OF MT KING,"YOU ARE IN THE HALL OF THE MOUNTAIN KING, WITH PASSAGES OFF IN ALL DIRECTIONS.",EAST:15|NORTH:32,FALSE
20,Bottom of pit,YOU ARE AT THE BOTTOM OF THE PIT WITH A BROKEN NECK.,,FALSE
23,YOU'RE AT WEST END OF TWOPIT ROOM.,YOU ARE AT THE WEST END OF THE TWOPIT ROOM.  THERE IS A LARGE HOLE IN THE WALL ABOVE THE PIT AT THIS END OF THE ROOM.,DOWN:25|EAST:67|WEST:68,FALSE
