setting,value,description
game_name,Colossal Cave Adventure,Name of the game shown at startup
starting_room,1,Room number where the player starts
show_exits,FALSE,Show available exits when looking at a room
typewriter_speed,0,Typewriter effect speed in seconds per character (0 = off)
debug,FALSE,Show loading messages and tick counter; always shows exits
input_prompt,,Prompt shown before each command input (blank for none)
dark_message,IT IS NOW PITCH DARK. IF YOU PROCEED YOU WILL LIKELY FALL INTO A PIT.,Message shown when player is in a dark room without light
show_score,TRUE,Show score in the status bar
show_turns,TRUE,Show turn counter in the status bar
use_uppercase,FALSE,Convert all game output to uppercase (original 1977 style)
get_ok,Ok.,OK message when something can be got
get_no,You can't be serious!,Failure message when something can't be got.
lives,3,Number of lives to start with.
allow_look_item,FALSE,Allow LOOK ITEM to show an item's long description (not in original CCA)
